Plasma Cells,Macrophages,AT2 Cells,Club Cells,B Cells,T/NKT Cells,Monocytes,Dendritic Cells,Basal Cells,Mast Cells,Endothelial/Lymphatic Cells,Fibroblasts,AT1 Cells,Ciliated Cells
NNMT,RAB17,MPHOSPH6,PDXDC1,LTBR,SOD3,SFN,DEFB1,UQCRH,OARD1,CLDN18,DUOX1,HSD17B6,LRRC56
ACTN1,SLC44A4,TNFRSF1B,LAP3,TRIB1,CXADR,GBP1,ALOX15B,GCA,AHR,BRI3,GLRX,RPL13A,ZDHHC13
TACC1,P3H2,KYNU,ANXA1,DPH3,C19orf33,RBP4,MMP19,LRIG1,ARL6IP5,LAIR1,WFDC2,C5AR1,TTC16
MFSD2A,KRTCAP3,LAT2,STT3B,TNFRSF12A,SNRPB,PTRF,TNFRSF12A,CLEC12A,ALAS1,ZFAS1,MPRIP,SLC7A6,GLB1L
SDCCAG8,FLNB,AAK1,RDH10,CRTAP,MECOM,IGFBP4,RGS16,LUZP1,PSAP,SLC39A8,ZFHX3,TREM1,C6orf52
DNAJA1,FAM184A,SLFN11,ARPC4,ITGB6,TSPO,NFIA,EML4,PTPN6,FBXO34,HIP1,GK,H3F3B,MISP
CHMP2B,CPNE3,ACOT7,SDC2,CALM1,NEDD4L,BLVRB,JUN,FCGR1A,DRAP1,TPM3,PRDX2,ADD1,ANKRD45
SET,CTSE,MCOLN1,CFLAR,SLC7A7,CRNDE,ITGA3,HIGD2A,CXCR4,THUMPD3-AS1,MGAT4A,GNG5,TIMP2,FGFR1OP
PABPC4,PCYOX1,VPS29,RGS1,AHR,ATP6V1A,MME,PRELID1,JUND,HIPK2,CLEC7A,ENC1,DDX17,TMPRSS4
DYNC1I2,MSI2,FAM26F,HMGN2,TANC2,CKLF,EGFR,TACSTD2,MIR3945HG,ZBTB20,DOK2,GCLM,EFHD2,SERPINI2
SLCO2B1,PLLP,TRIM22,IRS2,NFIA,PPP1CA,FOXA2,CD81,NCF4,AGER,MRC1,MLXIP,PTPRM,ALDH3A1
C11orf31,CIRBP,CASP1,GDF15,GOLIM4,GPX3,PLPP3,TUBB4B,GK,TAGLN,RAB31,RGS2,GYPC,CFAP58
ADAM17,EXPH5,SLC8A1,GOLGB1,CCL18,PPP2CB,FHDC1,TLN1,PLS3,GABPB1-AS1,SCPEP1,NCKAP1L,CYP27A1,LRRC73
BCAP31,BTG2,HACD4,LGALS3BP,DMKN,APP,TXNRD1,PRDX2,MMP19,UXT,EFEMP1,SAMSN1,FAM177A1,KCTD11
C1orf21,PTK7,IFNGR2,ACTN1,LIPA,TMEM125,RP11-259K15.2,AHR,TALDO1,CLCN3,NAMPT,LINC00998,ABCA1,LRRC27
SH3YL1,MUC15,ATP6V0D1,CD74,YAP1,RHOBTB2,TNFAIP2,SYNGR2,COTL1,PAG1,ZBTB16,OSCAR,NISCH,PZP
LY6E,GLO1,SH3GLB1,SEC11A,MGST2,MMP19,MIF,AIM1,TTN,CD38,FNBP1L,ITPR1,TSPAN3,ENO4
ID1,FAM84B,OTOA,EIF4G1,NUP58,CLEC12A,PHC2,LAP3,TMEM30B,NAP1L4,C4BPA,FGGY,RPL36A,KIF6
YAP1,ARPC1A,LILRB3,SMCO4,AVPI1,C9orf78,TMPO,MYCBP2,COLEC12,EIF4B,RGS3,HNRNPA0,ZBTB4,CFAP61
TUBA1C,DNAH5,Sep-09,FABP3,HEBP2,MLLT6,ALDH2,USP53,STX11,YAF2,GAS2L1,CARHSP1,ERGIC1,RP11-424M24.5
ATP6V1B2,AC079630.4,TRPV2,LINC00657,HMGCS1,STXBP2,CKB,C9orf142,SLC2A3,LEPROTL1,ELF3,AGR2,SERPINH1,WDR92
PLAUR,STXBP1,NCF1,MOB1A,MRPL57,RND3,EIF5B,SPARC,RHOG,FTH1,HDDC2,TFRC,ST3GAL5,KCNJ16
RP11-1143G9.4,DGKD,MPP1,HLA-A,DNAJC3,TGFBI,LL22NC03-N95F10.1,BSG,PRNP,TMSB10,PTMS,TREM2,CYB5R3,PAIP2B
GABARAPL2,UBC,DSE,CPD,DUOX1,RPS4Y1,ID3,PARM1,SELPLG,LETMD1,SLC7A7,NKX2-1,TMEM30A,FOXC1
ZNF106,ARHGAP29,CAPZB,DDX21,TMED2,EGR1,FLI1,UBXN1,NDUFAF3,AP3S1,SLA,CTC-444N24.11,RPL23A,KCTD1
FCGR3A,RPL11,TFEC,C11orf96,BEX4,ITGB6,PPP1R18,CAT,PSMB3,CNIH1,LMO7,FILIP1,BIRC3,RAB11FIP4
ATP11A,ARL5A,PHLDA3,CITED2,TMEM87A,LGALS9,COPE,LYAR,TPP1,ELOVL5,SERINC3,CYP27A1,RRAS2,FBXO36
TMC5,ZNF664,TWF2,RUNX1,DESI2,FAM129B,APBB1IP,SNX3,UBE2H,TSNAX,MFSD2A,EVI2A,HBEGF,POFUT2
APP,PBX1,SMCO4,CAP1,SCIMP,DUOX1,NUP58,CLU,OSTF1,USP48,WIF1,TJP2,GLRX,CCDC13
SECISBP2L,USP53,FAM89A,CD84,IRF2BP2,PILRA,EFEMP1,CETN2,ARGLU1,CTD-2336O2.1,SPN,MYH9,RNF130,DICER1-AS1
EPS8,PAWR,C3AR1,GPCPD1,HDGF,RMDN3,RGS16,SLC11A1,TMED5,IL18,EIF4A1,ELF3,PMVK,LRRC61
IL13RA1,C1R,CMTM6,CORO1A,HIST1H2BN,HES1,TMEM176A,RNF145,ISG15,CREM,VGLL4,FYB,PLXDC2,C8orf34
EPHX1,KIF1C,TFPT,SCPEP1,COX5A,GCA,SRGAP2B,TPPP3,LTA4H,TWISTNB,WASF2,MRFAP1,RPL5,C22orf23
PTBP3,CGNL1,FAM96A,BASP1,LINC00657,HMOX1,DYNLL1,NOP10,LYAR,IRAK3,PAG1,SLC7A2,MFN2,HIST1H2BD
GNAI2,SREBF2,TUBB6,YWHAH,DNAJB1,TSC22D4,COX6C,CD47,TBXAS1,CEACAM6,CSF3R,CCDC88A,PECAM1,GRAMD1C
DDX3X,ODC1,B3GNT5,MACC1,ARHGAP18,GKN2,BTG1,SGK1,DHRS7,RTFDC1,RAI14,LPXN,PNPLA2,SPATA4
NFIA,ANAPC16,AP1S2,ATP5EP2,SFTA1P,AGRP,TLR4,SARS,ATP5H,FABP3,PYCARD,RNF13,ITPR3,KAZN
PHACTR2,AC007405.6,CD4,PLD3,RAB34,ALOX15B,SOCS2,CHI3L1,LEPROTL1,PSMA2,ERP29,SYK,ITGAV,ULK4
DOK2,EHD2,ADGRE5,MCL1,MYL6,ABHD17A,CYTH4,CD36,SOAT1,LSM8,PDE4DIP,SPN,DNM2,POU2AF1
ATP2C1,LGALSL,IRF8,LGALS9,MAN1A1,MACROD2,C1orf116,DCXR,PIK3R1,SPNS1,RBM17,MRPL14,RPL27,CTD-2544H17.1
NEAT1,PIM3,AP2M1,HMGB2,CTNND1,FAM107B,SSR3,AKR1C3,INSIG1,PPP1R18,C10orf128,DDX17,PPDPF,CRLF1
PPARG,RPL23,M6PR,HSPA8,CD36,KRT19,FAM89A,CTGF,FRMD4B,PRNP,SMIM22,FAM63B,AGAP3,BMPR1B
GMPPB,RASGRF1,TUBA1A,PSME1,TMC5,ARFGEF3,FNIP2,SOCS2,UBE2E2,EIF2S3,TAGLN2,RP11-598F7.3,MALAT1,LRRC43
F11R,SLC25A23,IQGAP2,PGC,FAM96B,PARM1,NMB,FUS,PLEC,GABPB1,TJP2,MPZL2,ADAM9,GLB1L2
WDR83OS,PCBD1,UBASH3B,LTA4H,NCEH1,NKTR,TPM1,GLDN,RMDN3,EIF1B,IER3,HCLS1,GSTO1,LINC00342
SYPL1,ACSS2,LINC00152,DCXR,DPYD,ARHGAP18,CYBRD1,CYP1B1,DLC1,MIIP,CTTN,MAP1LC3A,ARPP19,C11orf63
ATP6V1E1,CYSTM1,AKIRIN2,DYNLL1,SEPW1,RSRP1,MCL1,PRKAR1A,GLIPR1,CLK1,PTPN6,KLF10,VKORC1L1,KIAA1456
ENY2,CNN2,DOCK8,TAGLN,TMEM219,POLR2J3,ATP1A1,GNAQ,ZNF385B,CD24,PLD3,FPR1,HCLS1,CLDN16
MAFB,CDKL2,GPR65,WNK1,FAM200B,PNISR,CMTM6,RARRES3,IRX3,ARMCX3,SHTN1,SELPLG,DOK2,CTD-2186M15.3
CCND1,SCEL,MGST3,ACTR2,TIPARP,TOP1,CETN2,ICAM1,IDI1,CLNS1A,ATP6V1F,S100A13,RPS5,GPC3
PYURF,INSR,ATP5G3,PRDX1,MIR4458HG,LMO7,HSP90AB1,CCND1,FN1,BTG2,SMCO4,SDCCAG8,SLCO2B1,CCDC138
IPO7,RPL10,FLNA,GABARAP,HBEGF,RGS10,PSMB3,TMEM14C,PRRC2B,USP53,PRMT1,MACROD2,CD44,FXYD1
INHBA,AUTS2,PARVG,GPX3,TGFBR2,PRDX5,DBNL,CDC42SE1,AKR1C1,MT-CO3,DDX5,FDFT1,RPL14,ITGB4
RPS6KA2,LSS,ADAMTSL4,FKBP1A,DCK,ZC3HAV1,PRDX5,AGER,CD300LF,APOC1,HIGD2A,MYC,IFI16,TNNI3
SAP18,ATP2B4,C10orf54,ARF6,ATP5H,RPL36A,C4orf48,DNAJB1,MS4A6A,SUPT4H1,FAM49B,EGFR,LAIR1,ADAM12
SFTA1P,HINT1,LACTB,ATOX1,AGR2,KLF5,SULT1A1,ETS2,MID1IP1,IGHA1,BHLHE41,CHP1,KLF13,CCDC160
COTL1,H1F0,CD86,CEBPB,PECAM1,CYP4B1,SLC6A14,OLR1,VKORC1,,SLC25A25,TBC1D2B,KPNA3,MEIG1
FRMD4B,TCEA1,PAK2,TTN,NDUFS8,Sep-09,RNF130,LRPAP1,NAP1L4,,SESN3,MACC1,TMEM109,DENND2C
ITGB6,LLGL2,RHOA,LITAF,GKN2,SEC62,HIGD2A,IL7R,CACNA2D2,,EML4,OPTN,WEE1,MKS1
CLDN4,MAGI3,H3F3A,MFSD2A,PLBD1,MBIP,CXCL2,FABP3,Mar-01,,ATP6V0D1,FCGRT,SIK2,RSPH14
UBE2D3,RPL9,RNF213,IL1RN,TMEM245,DMKN,STEAP4,TSPO,TMEM147,,CD63,ADGRF5,SLC38A1,GFOD2
TAX1BP1,NFKBIZ,VDAC1,HSD17B6,PLAC8,ACSL4,KLF2,NCOA7,LGALS9,,LITAF,JAML,AKR1C1,BBS5
NUDT14,GOLT1A,ATP5E,SPARC,RNF7,PTPRF,TCIRG1,SOD2,ARHGAP30,,PRKX,CTSC,SPRY2,CATIP
FBXL5,PPP1R9A,LAMP1,JUN,PIK3IP1,YAP1,ZYX,S100A9,CD83,,HMGN2,ZYX,SGK1,LPAR3
SLC25A24,NUP58,HAVCR2,PEBP4,FRMD4B,CA2,ICAM2,PNRC1,FGGY,,MACROD2,MID1IP1,CLIC2,KB-1562D12.1
TUBA1B,SLC22A3,VMO1,A2M,CAMTA1,TMC5,SASH3,RETN,CYTIP,,CYP27A1,FXYD5,ELOVL5,APBB1
AHNAK,CAPN8,PAG1,HSD17B11,TPP1,SECISBP2L,SDC2,HMGN3,VPS13A,,TSPAN3,TBXAS1,SNX14,C14orf79
LYN,FNBP1L,CCR1,WIF1,CHMP7,NNMT,TGFBR2,C6orf48,RBP4,,CHP1,HN1,TIMP1,PAQR7
CH17-340M24.3,MRPS6,MYO1F,AKR1C3,ARFGEF3,LRPAP1,SQLE,PLP2,UCP2,,CLDN4,CLDN4,EPAS1,RP11-798M19.6
ZDHHC3,NAA38,OPN3,SERPING1,CNN3,ETV1,BCL2A1,RGCC,IMPDH2,,RP11-553L6.5,CHPF,SLC25A6,CDH26
ATP6AP1,WDR34,HMGN2,ALDH2,CYTIP,HSD17B6,CXCL3,THBS1,ZFYVE21,,TMC5,EIF2S2,NFAT5,TCTE1
CTNND1,ESAM,SH3BP5,ABCA3,REXO2,CDS1,DUSP6,AREG,FNIP2,,SAMHD1,LCP2,RYBP,RP11-60L3.6
UGP2,HYI,GAA,CXCL2,PGRMC1,CNN3,IFNAR2,JUNB,TUBA1B,,EID1,TOB2,ZFHX3,DFNB31
TXNDC17,TOB1,RAC1,SGK1,SNTB1,HBEGF,LGALS9,ALDH2,AHSA2,,LEPROT,TALDO1,SLA,ZNF474
TMEM97,TMEM30B,SLC15A3,MSMO1,VMP1,SDC1,SLC16A3,ANXA2,ITGB1,,ABL2,SLPI,BHLHE41,MAPK8IP1
MYOF,LRRC23,LAP3,CHI3L1,RPS6KA2,TAF7,CYR61,STXBP2,ALOX15B,,PLEC,LMO3,MPPE1,PLCH1
LAIR1,DCBLD2,ARHGAP30,LAMP3,RHBDD2,MS4A6A,GJA1,CD52,HMGN2,,SERBP1,CECR1,WDR6,LEKR1
AZI2,PIFO,PLEC,SOD2,STRA13,SRSF5,FDPS,TREM2,Sep-02,,GNA11,FOLR1,RGCC,ZMYND12
FCHO2,SMC4,ANPEP,SFTPD,PHLDA2,F3,PNRC1,CD24,MT-ND2,,TALDO1,LRRC58,CRYZ,WDR27
C14orf2,MYO5C,FGL2,SDR16C5,IPO7,C1orf162,ARID5B,PHLDA2,NEU1,,ST3GAL5,WIF1,MBIP,KIAA0895
SUMO1,ZDHHC9,TGOLN2,HLA-DRB5,UQCC2,AQP4,BMP2,IGHG3,CIB1,,FXYD5,FAM96A,PACSIN2,NTN1
IRX3,RPS8,BLOC1S1,TFPI,ARPC1A,PLP2,YWHAH,IGLC2,PARVG,,GRINA,DOCK8,CPEB4,CEP19
C11orf58,PNKD,CD84,IGFBP7,NDUFC2,UBE2D2,JARID2,CFD,YBX1,,LMO3,ITGB6,CLEC7A,CXXC4
LYAR,AKAP1,ATP6AP2,IGLC2,ALOX15B,SUSD2,PRAM1,CTSH,EIF2S2,,SPTLC2,RRAGD,GNAS,EFNB3
ALOX5,ANXA3,ACER3,IGHA1,LST1,CKB,TMBIM6,SLCO2B1,KCNAB2,,PTP4A1,LPL,RIN2,PRR7
RBPJ,ARRDC3,CHCHD10,TIMP1,PEG10,MEF2C,METRNL,GLUL,WDR6,,DUOX1,LUC7L3,CCDC12,ESPN
MCL1,CYP1B1,CXCL5,SFTPA1,C1orf162,HIST1H4C,TGFB1,MSR1,GPX4,,PRDX5,RNF130,NPM1,IGSF10
SRSF5,GALNT3,IRS2,IGKC,CES1,SDC2,RBM3,PPA1,LILRB3,,C3,CSF3R,EIF3E,CCDC148
CNBP,MRPL33,NCF4,,ADIPOR1,GSTO1,CLIC3,CD83,SMARCC1,,SFT2D1,SPTAN1,RPS6KA2,ARL6
CBX3,PAM,CALM3,,SCNN1A,YWHAH,CD55,IGHG4,SERP1,,MLLT4,PLBD1,RNASET2,FAM95C
PEG10,FKBP11,CALM1,,ARL8B,CPVL,SPRY1,IRF7,MBNL2,,TSPAN14,MIR3945HG,DGKD,C1orf141
AVPI1,BMP1,IFNGR1,,NRGN,AP2S1,PCDH9,DUSP6,HAVCR2,,PITPNB,BAX,CD46,KRT80
TCEB1,STK17A,DEFB1,,CXADR,MIR3945HG,PLAUR,TAGLN,ADAMTSL4,,INHBA,TMC5,FOSL2,IQCH
ANP32B,COL8A1,AXL,,NPTN,FKBP5,VASP,EMP1,TREM2,,ABCA3,PHACTR1,FKBP5,NAT1
MRPL41,SPINK5,PMP22,,TACSTD2,RNF145,MTPN,MT1X,AGRP,,TAOK3,CLEC12A,THEMIS2,KREMEN1
BZW1,TRIM2,FPR3,,HNRNPAB,C19orf43,ACAT2,GPX3,RPS27L,,F3,POLR1D,RPL29,EFCAB6
SNTB1,TCEA3,GPCPD1,,SQRDL,HNRNPA2B1,TUBB4B,SPP1,C20orf24,,LPCAT1,AQP4,COBLL1,C1orf106
TACSTD2,FAM213A,PTAFR,,COX6A1,IRF2BP2,FABP3,ATP5EP2,FPR2,,THEMIS2,SNX2,HEXB,FBXL2
KLF5,ARMC9,MIS18BP1,,ATP2A2,SCGB3A2,PRDX1,PSMA7,XIST,,NDUFA4,PTAFR,SNX24,ARX
IDH1,SLC25A5,FOLR3,,KLF5,VAMP2,TRMT1,IGHG1,NPM1,,HCLS1,TNFRSF1A,MPZL1,PRMT8
HMGCS1,RPS17,SNX3,,ATP6V1D,EMP1,C20orf27,JCHAIN,DRAM1,,GK,SHC1,POGK,BZRAP1
TAX1BP3,RASSF7,RMDN3,,PSMB8,SFTA1P,CD302,SNX10,RASGEF1B,,IER2,FPR2,GRAMD1A,PPP1R36
MBP,PPP2CB,LILRB4,,FOSL2,FLRT3,ADRBK1,FTH1,GKN2,,EVI2A,TPP1,DBI,ZFHX2
MT-ND4L,RPS14,ACTG1,,RILP,CCND1,TUBB,,SPINT1,,LPXN,LY86,CPEB2,CRISPLD1
CYBRD1,PIP5K1B,FUOM,,NFKBIA,CADM1,MIR4435-2HG,,SFT2D1,,COX4I1,UGCG,TMEM160,KIAA1324
TMEM125,ARGLU1,LTA4H,,DHRS3,ALPL,CALM1,,CEACAM6,,ATRX,SOD1,SLC31A2,NBL1
CFDP1,RPL4,SLC1A3,,FAM213A,ACTR3,AKR1B1,,BAG1,,NKX2-1,HPGD,CCNY,ZC2HC1C
FAM120A,SORBS2,TCF7L2,,AQP4,EPC1,SOAT1,,EIF4EBP1,,MYL12B,HLA-A,ESYT2,SRCIN1
CCND3,LDHB,PGD,,MAPK1,LDLR,PIM1,,PDK4,,KMT2E,KRT7,GRN,FHOD3
PHLDA2,CREB3L1,ARPC4,,EIF4EBP1,CTSC,MOB1A,,DOCK8,,SERTAD1,TTN,PLXNA2,MICAL3
ZNF385B,LNX2,BASP1,,GFPT1,TMEM97,DEFB1,,TRPV2,,KRT19,LEPROTL1,LITAF,CYGB
RABAC1,WWC1,FAM49B,,BNIP3,RPA2,CSF3R,,MTPN,,SNAP23,TANC1,KLF10,REEP1
SLC31A2,EPHA2,MT-CO2,,ATF7IP,MYCBP2,CHI3L1,,TFEC,,MAFB,CXCL2,SAT1,C10orf67
GABARAPL1,GNB2L1,SERF2,,IRX3,THBD,KLF6,,NR1D2,,ZFP36,NCEH1,CLEC2B,CALML4
RAB34,JAK1,BAX,,MS4A6A,CD55,IL7R,,ATP6AP1,,RNF149,GCA,SON,COL28A1
VAT1,PLA2G10,NCEH1,,RPL17,STEAP4,GIMAP2,,LTBP3,,SOD3,LAMTOR2,UBA1,DPY19L2
TMEM141,PID1,FNBP1,,FPR1,PRDX2,PGD,,SRSF11,,ARPC3,HEXB,SPN,PCDH17
PNRC2,MAGI1,PPP1R18,,ZNF385B,RGCC,SKAP2,,SCGB1A1,,FOLR1,GSTO1,ATP1B1,CFAP161
SF3B6,HMGCR,OSTF1,,BCL2L1,CETN2,HSPA1B,,REV1,,CTSZ,ADGRE5,TMEM41B,ANKFN1
EFCAB14,CERS2,BLOC1S2,,ZYX,SRSF2,PTEN,,CD4,,ARRDC2,RRAS,ISG20,AC062017.1
CACNA2D2,EEF1A1,MOB1A,,GLDN,IFI27,CALM2,,MT-ND4L,,ELK4,CA2,ARHGEF2,DZIP1
ALOX15B,RPL29,PSME1,,MYO1B,ARL6IP5,PABPC4,,TNFSF13B,,ZNF385B,CRNDE,POGZ,FAM84A
RPS5,CCDC57,PRR13,,SEC61A1,ATP5EP2,C6orf48,,TUG1,,JAML,TCEAL3,ATL3,APOD
CXADR,RPL35A,SELPLG,,GDE1,PEG10,LINC00152,,LSP1,,CXCR4,THRA,EPN2,ALS2CR12
GCA,DHCR7,MYL12A,,PIM3,IFT57,MT-ATP8,,RAB5C,,PTK2,ATP5EP2,EDEM1,ANKRD18A
DMKN,THOC2,SNX2,,RAB32,RBP4,HLA-DQA1,,CLEC2B,,AGR2,ABCG1,MT1E,EML1
IGF2R,RPL41,LCP2,,CEBPA,GLRX,DOCK2,,PLAU,,ROCK2,C2,LARP4B,MZF1-AS1
COLEC12,TACC1,FERMT3,,FCHO2,ARGLU1,ATF3,,ID2,,MBIP,TMEM243,CFD,WDR31
TMOD3,LSR,TPM4,,HSD17B4,AQP1,ABRACL,,LINC00657,,LY86,RETN,RBMS2,TRPV4
BANF1,ODF2L,SIRPA,,TIMM8B,ST3GAL5,HNRNPA2B1,,CRTAC1,,ASS1,IFI16,ARHGEF12,SCD5
SNRPD1,IRF2BP2,OSCAR,,REL,LRRFIP1,RP11-386I14.4,,LPP,,ITGB6,MYO1B,COX4I1,RAMP1
VPS29,PNISR,FPR2,,FLNA,DRAP1,NEDD9,,GLTP,,RAB34,EPAS1,HACD1,PRICKLE2
SYNGR2,ARPC5L,PNPLA6,,STX12,HMGCS1,NAGK,,LRPAP1,,ODF2L,TPM3,PSAP,TMPRSS3
ATP6V1D,RPS18,NUP214,,FGR,PYCARD,SELPLG,,NKX2-1,,TYMP,CD151,MICA,DCDC2
SNX2,ACSL4,TAGLN,,SNX30,CLEC2B,MSN,,FUOM,,BEX2,DUSP23,VPS13A,LINC01091
HNRNPU,TNNC1,EVL,,BASP1,ICAM1,PHLDA2,,SHC1,,KLF5,H2AFJ,TXNDC11,BIK
CRNDE,F11R,YWHAZ,,B3GNT5,HSP90B1,TLN1,,TMEM63B,,HIPK3,PDXK,PSMA7,AC195454.1
C1orf43,POLR2C,PRDX1,,SAT2,ARPC4,HLA-F,,VEZF1,,MYL12A,AGRP,ATN1,DUSP19
MTUS1,MYO6,RNASE6,,C11orf96,SOD1,ARL6IP1,,REEP5,,RP11-598F7.3,SH3BGRL3,TPGS2,CDC14B
KLF4,EVA1A,CYTIP,,PDCD4,MT-ATP8,VMP1,,IQGAP2,,CTNND1,SARAF,C4orf48,CXorf57
TSPAN14,RAB3IP,RP5-839B4.8,,SNRPG,MBP,TGFBI,,STK17B,,MSMO1,CYTIP,DESI2,KCNH3
HEBP1,SARS,SPARC,,CIRBP,CEACAM6,ATG3,,RNF149,,ARL2,CIB1,ENO1,AK8
TMEM50A,LIFR,KCNAB2,,MRPS15,MARCKS,MAP3K1,,PLA2G16,,HCK,CKLF,REXO2,ZDHHC11
MIDN,NDRG1,VAMP5,,PDK4,MT1E,CSGALNACT2,,AHNAK,,GLIPR1,ALPL,LSP1,LINC00240
BLOC1S2,C2,RAP1B,,ADAM17,CAV1,ZFP36L2,,BMPR2,,MS4A6A,C20orf24,IL6R,KATNAL2
ARPC4,IMPA2,GM2A,,MACROD2,TBCB,EVI2A,,XBP1,,RRAGD,RMDN3,RNF144B,WRAP53
JAML,EI24,WIPF1,,CACNA2D2,SOX4,CAPNS1,,CCDC69,,PLEKHA1,CD36,RNF19A,CCDC33
LSM4,TEAD1,Sep-11,,CAPNS1,PSMA7,MYL9,,MPP1,,PILRA,PLEK,TMEM87A,CCDC8
RAB11A,SLC25A36,PFDN5,,RAB11FIP1,KRT7,LAT2,,WASF2,,NRP1,Mar-01,TP53I3,ZNF19
DPYD,ZNF106,ACTN1,,LAIR1,PGAM1,SMCHD1,,CD86,,RIN2,MYO1C,KIF1C,LINC01207
C11orf96,PRKCZ,FCGR1A,,COPRS,HSPA1B,ZCCHC6,,KRT10,,FPR1,TWSG1,DDX5,RSPH10B
MRPS36,EEF1B2,DRAP1,,SF3B5,FABP3,PLSCR1,,SNRNP70,,LINC00152,GSTP1,PRDX1,BEST4
TMEM173,LINC00657,TBXAS1,,LIMA1,WDR74,ATP5B,,AHCY,,PLEK,C16orf89,PLAUR,FAM188B
HHIP,UTRN,RGS19,,CHCHD5,C11orf96,SPARC,,SLC38A2,,SDC1,FCGR1A,HCK,NEURL1B
VASP,OSMR,CNPY3,,HHIP,TNRC6B,CTGF,,KMT2A,,RERE,ATP11A,RNF145,CTB-55O6.8
SCNN1A,KIAA1324L,TGFB1,,TM9SF3,CD14,MMP19,,SELK,,GADD45A,ADAM9,PGRMC1,LINC00511
TOMM20,HNRNPA1,CTSA,,TSPAN14,SPARC,STK10,,THUMPD3-AS1,,GLIPR2,GKN2,SERINC2,ZNF599
NCEH1,RPS7,BCAP31,,TMED5,SMC3,PLIN2,,TSC22D3,,KLF10,SHTN1,CKLF,CTA-293F17.1
GAPDH,NR4A1,TNFSF13B,,C1orf122,PPP1R2,MOB3A,,IFITM3,,PRKCDBP,MFSD1,CECR1,RIPK4
MYO6,CCDC69,FHL1,,ANXA4,IGLC2,NCKAP1L,,POMP,,TMEM125,LSP1,TRIOBP,ACSBG1
ARL8B,KIF22,CES1,,SLC31A1,HMOX2,GPR65,,LCP2,,SAMSN1,SCNN1A,WASL,SMPD3
HSBP1L1,DDX17,HSP90AA1,,PHC2,JUNB,RGS10,,TLR4,,IFI30,SUN1,LPIN2,SPIRE2
PRDX1,PTPRG,LIMS1,,EMP1,TPPP3,ATP5D,,BLVRA,,NCKAP1L,LINC00657,INHBA,CCDC67
C3,RFC1,RBPJ,,NARS,CD24,ATP6V1B2,,WIPI1,,CD302,PLA2G1B,TGFBI,TTC30A
RHOG,CPB2,ID2,,DDX21,C15orf48,EMP1,,STIM2,,TREM2,PLEC,DOT1L,CAP2
PDK4,KLF13,ARF6,,B4GALT5,CORO1B,RASGEF1B,,SET,,GKN2,ADIPOR1,HLA-B,NCALD
B3GNT5,TMEM63B,MGAT1,,FADS1,LDHA,SH3BP2,,IRF8,,ZEB2,BHLHE41,RPL7A,EYA1
MRPS21,CRIP2,DDAH2,,NDFIP1,TPR,CD24,,MZT2B,,ALDH3B1,MSMO1,ARL4A,TMEM246
LTBR,MVD,TSC22D3,,SHFM1,CTGF,SSH2,,ZC3H11A,,IDH1,LMO7,TSC22D2,TTC12
SPATS2L,HOOK2,AGRP,,SDF2L1,VCAN,FNBP1,,FADS1,,QKI,MBIP,RAD21,RPL39
SFN,TMEM141,ZYX,,EFHD2,POLR3GL,RXRA,,AQP1,,FYB,BTG2,CCDC107,RPS15
SIVA1,MKNK2,PLSCR1,,CAPZA2,ANP32E,SUPT4H1,,EBPL,,MTUS1,ALOX15B,HSPB1,RPL22
CES1,NECAB1,TPP1,,TGFBI,COTL1,C19orf43,,ATP1B3,,MTRF1L,LDHB,LY86,RPS28
BTG1,SMAGP,TGM2,,GPX3,HSPA1A,FCGR3A,,GPR65,,DRAM1,PPT1,B3GNT7,RPS15A
CHCHD5,PFKFB2,ATP1B3,,CA2,KLF6,DSE,,NCOR2,,FASN,ARGLU1,RAC2,RPL32
GAA,TRIB1,UBE2L6,,FAM215B,CHI3L1,MBOAT7,,COPE,,PLA2G1B,MAGED2,EVI5,RPL23A
GLDN,SLCO4C1,DST,,PRDX3,AGER,PTAFR,,LACTB,,DDX21,RABAC1,GLIPR1,RPS27
EIF3L,EEF1D,DDIT4,,EI24,A2M,CASP4,,PLXND1,,SSFA2,PLAC8,PRRG4,RPL28
HNRNPDL,CCND2,ADAM17,,ETF1,S100A8,DMXL2,,MLLT6,,CIB1,BEX2,TRAK1,RPL35
HPGD,CKS2,SMAP2,,NEU1,LGALS1,A2M,,SH3BP5,,PAPSS2,NEDD4L,ST6GALNAC2,RPS13
SNX30,BIRC3,LRRFIP1,,BAG1,HOPX,PPP4C,,RGS19,,MRPL14,EIF4EBP1,SH3BGRL,RPL21
YWHAH,LCN2,Mar-01,,PHACTR2,SCGB3A1,PRR13,,LAPTM4B,,MAP4,CXCR4,ROCK2,RPLP2
NUP58,C12orf49,STMN1,,MT1X,IGHG3,LYST,,HLA-E,,TGFBI,OSBPL8,LSS,RPL30
CHCHD2,DSG2,PDK4,,RBPMS,CMC1,RGS1,,EVL,,RBMS2,CPVL,FYB,RPL23
TXNRD1,FADS1,TAGLN2,,HSPA1A,IGFBP7,CHD1,,SLC25A37,,IRX3,B2M,LMNA,RPL19
AGR2,ID4,GCA,,DST,IGHA1,PFKFB3,,NFIX,,CHIC2,TXN,RPL17,RPL26
DONSON,SNHG19,CD81,,TREM2,TIMP1,EMILIN2,,NDUFA4,,LRPAP1,CHCHD10,LTBP3,RPS19
